authors,title,year,scholar_link
"(1) I Bellwood-Howard, P Taylor, A Niang, KN Bukari, E Kioko, PW Wangai, ...",Les arts dans le dialogue et la communication sur l’environnement en Afrique de l’Ouest et de l’Est (The Arts in Environmental Dialogue and Communication in West and East Africa),2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=HksiiCIAAAAJ&pagesize=100&citation_for_view=HksiiCIAAAAJ:mB3voiENLucC
"(1) KN Bukari, SB Kendie, AB Stephen, P Osei-Kufuor",Social network dynamics of Fulbe in Northern Ghana,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=HksiiCIAAAAJ&pagesize=100&citation_for_view=HksiiCIAAAAJ:e5wmG9Sq2KIC
(1) KN Bukari,Actors and Social Networks in Farmer-Herder Relations in Ghana,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=HksiiCIAAAAJ&pagesize=100&citation_for_view=HksiiCIAAAAJ:4JMBOYKVnBMC
"(3) RJ Imoro, KN Bukari, R Ametefe","Experiences, Expectations and Challenges of Return: Liberian Refugees in Ghana",2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=aSsnNTwAAAAJ&pagesize=100&citation_for_view=aSsnNTwAAAAJ:zYLM7Y9cAGgC
"(5) AD Akorsu, AO Britwum, S Bukari, BY Tachie, M Dankwah",Online ride-hailing drivers' organising for interest representation in Ghana,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=7hoMst4AAAAJ&pagesize=100&citation_for_view=7hoMst4AAAAJ:ufrVoPGSRksC
"(5) RG Dadzie, J Ampofo-Asiama, B Quaye, N Kizzie-Hayford, ...",Effect of beeswax coating on the quality of eggplant fruit during cold storage and optimization of coating conditions,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=BXxq_UEAAAAJ&pagesize=100&citation_for_view=BXxq_UEAAAAJ:qxL8FJ1GzNcC
"(3) N Kizzie-Hayford, J Akanson, J Ampofo-Asiama, EE Abano","Influence of partially substituting wheat flour with tiger nut flour on the physical properties, sensory quality, and consumer acceptance of tea, sugar, and butter bread",2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=UmenDxMAAAAJ&pagesize=100&citation_for_view=UmenDxMAAAAJ:TFP_iSt0sucC
"(2) N Kizzie-Hayford, J Akanson, E Dankwa, J Ampofo-Asiama","Influence of Sprouting Duration on the Nutrient, Functional, and Phytochemical properties of Tiger nut flour and Bread",2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=DylXXBUAAAAJ&pagesize=100&citation_for_view=DylXXBUAAAAJ:0EnyYjriUFMC
"(2) AS Adewumi, PA Asare, II Adejumobi, MO Adu, KJ Taah, S Adewale, ...",Multi-Trait Selection Index for Superior Agronomic and Tuber Quality Traits in Bush Yam (Dioscorea praehensilis Benth.),2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=pBKPf6QAAAAJ&pagesize=100&citation_for_view=pBKPf6QAAAAJ:PQEM9vzQD9gC
"(6) F Kumi, PB Obour, E Arthur, SE Moore, PA Asare, J Asiedu, ...","Quantifying root-induced soil strength, measured as soil penetration resistance, from different crop plants and soil types",2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=aEQcE8QAAAAJ&pagesize=100&citation_for_view=aEQcE8QAAAAJ:_B80troHkn4C
"(1) A Weremfo, S Abassah-Oppong, F Adulley, K Dabie, S Seidu-Larry",Response surface methodology as a tool to optimize the extraction of bioactive compounds from plant sources,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=En_RCMMAAAAJ&pagesize=100&citation_for_view=En_RCMMAAAAJ:ufrVoPGSRksC
"(2) CO Hood, J Radjoko, SY Mensah, M Horvat","Spatial distribution of Hg in Pra River Basin, Southwestern Ghana using HF acid combination method",2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=ajKRfu4AAAAJ&pagesize=100&citation_for_view=ajKRfu4AAAAJ:WF5omc3nYNoC
